"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_name","stop_desc","stop_lat","stop_lon","stop_url","wheelchair_boarding","route_id","service_id","trip_headsign","trip_short_name","direction_id","shape_id","hour_time"
"GO404_19_2",00:01:00,00:01:00,8,0,"Penn Station","34th Street between 7th & 8th Avenues.",40.75058,-73.99358,"http://lirr42.mta.info/stationInfo.php?id=8",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:13:00,00:13:00,9,1,"Woodside","61st Street and Roosevelt Avenue",40.74584,-73.90297,"http://lirr42.mta.info/stationInfo.php?id=9",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:18:00,00:18:00,10,2,"Forest Hills","Continental Avenue  (71st Ave) & Austin Street, 2 blocks South of Queens Boulevard.",40.71957,-73.84481,"http://lirr42.mta.info/stationInfo.php?id=10",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:20:00,00:20:00,11,3,"Kew Gardens","Austin Street and Lefferts Boulevard, between Queens Boulevard and Metropolitan Avenue.",40.70964,-73.83089,"http://lirr42.mta.info/stationInfo.php?id=11",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:24:00,00:26:00,15,4,"Jamaica","93-02 Sutphin Blvd., Jamaica, NY 11435.  Corner of Sutphin Boulevard and Archer Avenue, 2 blocks south of Jamaica Avenue..The easiest way to Kennedy Airport is by Air Train.   AirTrain JFK leaves from the terminal adjacent to the Long Island Rail Road's Jamaica Station every 2 to 12 minutes, depending upon the time of day.",40.6996,-73.80853,"http://lirr42.mta.info/stationInfo.php?id=15",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:41:00,00:41:00,106,5,"Rockville Centre","North Village Avenue and Front Street, just North of Sunrise Highway (Route 27).",40.65831,-73.64655,"http://lirr42.mta.info/stationInfo.php?id=106",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:44:00,00:44:00,107,6,"Baldwin","Sunrise Highway and Grand Avenue, North side of Sunrise Highway (Route 27).",40.65672,-73.60716,"http://lirr42.mta.info/stationInfo.php?id=107",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:47:00,00:47:00,108,7,"Freeport","Between Henry Street and Benson Place, north of Sunrise Highway (Route 27).",40.65745,-73.58232,"http://lirr42.mta.info/stationInfo.php?id=108",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:50:00,00:50:00,109,8,"Merrick","Sunrise Highway (Route 27), between Hewlett Avenue and Merrick Avenue.",40.66379,-73.55062,"http://lirr42.mta.info/stationInfo.php?id=109",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:53:00,00:53:00,110,9,"Bellmore","Sunrise Highway (Route 27) and Bedford Avenue, North side of Sunrise Highway, between Newbridge Road and Bellmore Avenue.",40.66879,-73.52886,"http://lirr42.mta.info/stationInfo.php?id=110",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:56:00,00:56:00,111,10,"Wantagh","Wantagh Avenue and Railroad Avenue, just North of Sunrise Highway (Route 27).",40.67298,-73.50896,"http://lirr42.mta.info/stationInfo.php?id=111",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",00:59:00,00:59:00,112,11,"Seaford","Sunrise Highway (Route 27) and Jackson Avenue.",40.67572,-73.48657,"http://lirr42.mta.info/stationInfo.php?id=112",1,1,"GO404_19_65","Babylon",2,0,1,0
"GO404_19_2",01:01:00,01:01:00,113,12,"Massapequa","Sunrise Highway (Route 27), just East of Broadway and Route 107.",40.67692,-73.46905,"http://lirr42.mta.info/stationInfo.php?id=113",1,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_2",01:03:00,01:03:00,114,13,"Massapequa Park","Sunrise Highway (Route 27) and Park Boulevard.",40.67785,-73.45474,"http://lirr42.mta.info/stationInfo.php?id=114",2,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_2",01:06:00,01:06:00,115,14,"Amityville","John Street, between Sunrise Highway (Route 27) and Route 27A, just west of Route 110.",40.68024,-73.42031,"http://lirr42.mta.info/stationInfo.php?id=115",2,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_2",01:09:00,01:09:00,116,15,"Copiague","Marconi Boulevard and Great Neck Road, just North of Oak Street.",40.68101,-73.39834,"http://lirr42.mta.info/stationInfo.php?id=116",2,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_2",01:12:00,01:12:00,117,16,"Lindenhurst","Wellwood Avenue and East Hoffman Avenue between Sunrise Highway (Route 27) and Montauk Highway (Route 27A).",40.68826,-73.36921,"http://lirr42.mta.info/stationInfo.php?id=117",2,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_2",01:17:00,01:17:00,118,17,"Babylon","Railroad Avenue just West of Deer Park Avenue, 1 mile South of Sunrise Highway (Route 27).",40.70068,-73.32405,"http://lirr42.mta.info/stationInfo.php?id=118",1,1,"GO404_19_65","Babylon",2,0,1,1
"GO404_19_3",00:50:00,00:50:00,118,0,"Babylon","Railroad Avenue just West of Deer Park Avenue, 1 mile South of Sunrise Highway (Route 27).",40.70068,-73.32405,"http://lirr42.mta.info/stationInfo.php?id=118",1,1,"GO404_19_65","Penn Station",3,1,4,0
"GO404_19_3",00:55:00,00:55:00,117,1,"Lindenhurst","Wellwood Avenue and East Hoffman Avenue between Sunrise Highway (Route 27) and Montauk Highway (Route 27A).",40.68826,-73.36921,"http://lirr42.mta.info/stationInfo.php?id=117",2,1,"GO404_19_65","Penn Station",3,1,4,0
"GO404_19_3",00:58:00,00:58:00,116,2,"Copiague","Marconi Boulevard and Great Neck Road, just North of Oak Street.",40.68101,-73.39834,"http://lirr42.mta.info/stationInfo.php?id=116",2,1,"GO404_19_65","Penn Station",3,1,4,0
